page	ts	digest	url	source	http	compression	bytes	cdx_len	repeat_ts_same_digest
faq_pt.html	20240914131811	NFCH6WQ2Z76IGOE4ZQWL6SGJKEPBL2VQ	https://moonsighting.com/faq_pt.html	fetched	200	gzip	10857	5383	
faq_pt.html	20240917175012	P2FB2GYIYP66BGXKIMUF6GTOLENIF7XF	https://moonsighting.com/faq_pt.html	fetched	200	gzip	10833	5347	
faq_pt.html	20250121105621	NBCBMSI5NWMA2OVHA2H5Q2INT5RDLYWE	https://moonsighting.com/faq_pt.html	fetched	200	none	35678	13003	
faq_pt.html	20250304085216	7VRVOQT6KXO5OCXWTKNMM6YGKHDWH66J	https://moonsighting.com/faq_pt.html	fetched	200	gzip	35678	13166	
faq_pt.html	20250311175424	LKZYQLFKYH7TNJLDMASMKKCUJIJLJ5WA	https://moonsighting.com/faq_pt.html	disk	-	none	35678	13404	
faq_pt.html	20250401012852	NMNS7DUMWPUTONWLJETOVBNVO7NTNXP7	https://moonsighting.com/faq_pt.html	fetched	200	gzip	35678	13383	
faq_pt.html	20250527080350	YGB3Q2QECWA6BSXIJUYOBZKVBTKQMSKM	https://moonsighting.com/faq_pt.html	fetched	200	gzip	35678	13198	
faq_pt.html	20250711152950	UONJS3H47PNYHRSBOATDHGUXCGDX5LK2	https://www.moonsighting.com/faq_pt.html	fetched	200	gzip	35678	13203	
faq_pt.html	20250714045243	5UQ3G67BVOSKFMYICP6AAZHIDO24CDJU	https://moonsighting.com/faq_pt.html	fetched	200	none	11821	5813	
faq_pt.html	20260131172424	XBHH6PPLGL76SHKDF7H22GG4LGPKHZC7	https://www.moonsighting.com/faq_pt.html	fetched	200	gzip	35678	13198	
faq_pt.html	20260309123609	DGYGJJIOCOZ6BOANPXF6PFY3KEY2VCFK	https://moonsighting.com/faq_pt.html	fetched	200	gzip	35678	13177	
pray.php	20111017162540	LANCKYKLVWUSTD4KJEBR4WREOWVFJIL4	http://www.moonsighting.com:80/pray.php	disk	-	none	10887	3448	
pray.php	20120419003620	RJLFKP7GYKULUWMRKGCOKL42YMI6SNGH	http://moonsighting.com:80/pray.php	fetched	200	none	11132	3297	
pray.php	20120814070544	RFXLDBAYK25KYXALBULMJRNBJRMRYTBK	http://www.moonsighting.com:80/pray.php	fetched	200	none	11508	3488	
